'sample #','ECG'
0,-12
1,-13
2,-12
3,-15
4,-13
5,-14
6,-14
7,-18
8,-16
9,-19
10,-16
11,-19
12,-16
13,-19
14,-17
15,-18
16,-18
17,-20
18,-17
19,-21
20,-18
21,-9
22,1
23,3
24,9
25,31
26,28
27,9
28,1
29,-8
30,-17
31,-40
32,-39
33,-40
34,-40
35,-48
36,-26
37,68
38,231
39,294
40,-31
41,-165
42,-118
43,-70
44,-31
45,-34
46,-28
47,-31
48,-23
49,-25
50,-18
51,-19
52,-13
53,-11
54,-3
55,-1
56,7
57,9
58,18
59,22
60,30
61,36
62,41
63,45
64,46
65,44
66,47
67,46
68,40
69,34
70,24
71,15
72,8
73,4
74,1
75,-1
76,-1
77,-2
78,-3
79,-2
80,0
81,-1
82,-4
83,-4
84,-3
85,-5
86,-7
87,-9
88,-9
89,-12
90,-13
91,-14
92,-11
93,-12
94,-16
95,-15
96,-18
97,-13
98,-15
99,-16
100,-16
101,-17
102,-18
103,-15
104,-17
105,-19
106,-21
107,-18
108,-19
109,-14
110,-9
111,1
112,6
113,14
114,39
115,29
116,10
117,-3
118,-5
119,-23
120,-36
121,-38
122,-37
123,-37
124,-43
125,2
126,115
127,237
128,192
129,-32
130,-148
131,-128
132,-70
133,-35
134,-29
135,-30
136,-29
137,-21
138,-24
139,-18
140,-17
141,-14
142,-8
143,-4
144,1
145,4
146,9
147,16
148,23
149,28
150,33
151,42
152,38
153,44
154,42
155,43
156,43
157,32
158,27
159,20
160,10
161,7
162,-1
163,1
164,-1
165,-3
166,-4
167,-2
168,0
169,-4
170,-1
171,-8
172,-7
173,-10
174,-8
175,-11
176,-15
177,-10
178,-15
179,-18
180,-16
181,-18
182,-16
183,-15
184,-17
185,-17
186,-19
187,-19
188,-21
189,-16
190,-23
191,-20
192,-19
193,-20
194,-15
195,-1
196,2
197,11
198,37
199,29
200,15
201,-1
202,-5
203,-22
204,-35
205,-36
206,-44
207,-35
208,-48
209,-6
210,106
211,242
212,244
213,-21
214,-159
215,-138
216,-75
217,-33
218,-31
219,-27
220,-30
221,-24
222,-24
223,-18
224,-19
225,-10
226,-10
227,-2
228,-1
229,6
230,16
231,15
232,29
233,31
234,40
235,40
236,48
237,47
238,49
239,49
240,43
241,36
242,30
243,18
244,7
245,5
246,0
247,-3
248,-6
249,0
250,-4
251,-1
252,-5
253,-6
254,-3
255,-2
256,-7
257,-8
258,-10
259,-9
260,-8
261,-15
262,-13
263,-19
264,-17
265,-17
266,-18
267,-20
268,-20
269,-16
270,-21
271,-21
272,-20
273,-21
274,-19
275,-20
276,-18
277,-7
278,2
279,7
280,14
281,38
282,25
283,9
284,-7
285,-12
286,-31
287,-42
288,-45
289,-40
290,-43
291,-53
292,14
293,173
294,299
295,125
296,-88
297,-163
298,-120
299,-62
300,-35
301,-36
302,-33
303,-27
304,-27
305,-23
306,-21
307,-17
308,-12
309,-6
310,-4
311,3
312,10
313,14
314,21
315,33
316,40
317,41
318,47
319,47
320,53
321,52
322,47
323,43
324,34
325,25
326,18
327,5
328,-3
329,-6
330,-7
331,-8
332,-8
333,-7
334,-8
335,-4
336,-8
337,-8
338,-6
339,-9
340,-13
